date,portfolio_nav,benchmark_nav,drawdown
2023-01-03,1.0,1.0,0.0
2023-01-04,1.01510225830875,1.001298644846484,0.0
2023-01-05,1.0161174769042873,1.0207513106693358,0.0
2023-01-06,1.0378291940031752,1.0239178023914717,0.0
2023-01-09,1.0618994027254964,1.032207884001102,0.0
2023-01-10,1.056584404437588,1.0333277690598446,-0.5005180598338014
2023-01-11,1.0468858167563198,1.0314133674768815,-1.4138425853374106
2023-01-12,1.0519171195170993,1.0334293663492802,-0.9400403826178211
2023-01-13,1.048121135637888,1.0479636945301305,-1.2975115206058985
2023-01-16,1.0550349322465231,1.0643188004626662,-0.6464332178127987
2023-01-17,1.0422774960452976,1.0641330960500774,-1.8478121966955394
2023-01-18,1.0560858286907748,1.0623511567558725,-0.5474693760821736
2023-01-19,1.0357202024003436,1.068959867527423,-2.4653183020878155
2023-01-20,1.0670697211296405,1.0755235668416283,0.0
2023-01-30,1.1119682793592305,1.0806209214796991,0.0
2023-01-31,1.1098057781896284,1.0691784946059557,-0.19447507718908807
2023-02-01,1.1338739269501703,1.0792289100102652,0.0
2023-02-02,1.1490144028742726,1.0754263420937633,0.0
2023-02-03,1.1373625106342005,1.0652622406086165,-1.014077126529031
2023-02-06,1.143054715113808,1.0511790558345266,-0.5186782468136518
2023-02-07,1.1627847941975156,1.0530710802929808,0.0
2023-02-08,1.1611294974326156,1.0484174100201678,-0.14235624452264498
2023-02-09,1.1720634745791483,1.0624908208778057,0.0
2023-02-10,1.170648728972246,1.0561771280581107,-0.12070554518476374
2023-02-13,1.1778910872908732,1.0657617391809817,0.0
2023-02-14,1.1734703335572259,1.0662031086712902,-0.37531090788835264
2023-02-15,1.1750127328096678,1.0606471515849565,-0.24436507859360718
2023-02-16,1.1363664912712033,1.0528792028805274,-3.525334087990743
2023-02-17,1.1306166136354687,1.037708798505311,-4.013484282671233
2023-02-20,1.138268752308164,1.0631680504046015,-3.3638368954671165
2023-02-21,1.1534934535606702,1.0659623616765765,-2.0712979318246707
2023-02-22,1.1596295254919475,1.056341998596157,-1.5503608097525319
2023-02-23,1.153969997334873,1.0554919250731565,-2.0308405602268653
2023-02-24,1.145818940736047,1.0445348503137555,-2.722844828429042
2023-02-27,1.1564338733985313,1.0401103526609101,-1.82166366006666
2023-02-28,1.1798071484668033,1.0466987439745734,0.0
2023-03-01,1.1873853117371227,1.061483850274917,0.0
2023-03-02,1.191890959132264,1.0591165048269002,0.0
2023-03-03,1.185437084225075,1.062412115129534,-0.541481991933859
2023-03-06,1.192245202022976,1.0568715905428614,0.0
2023-03-07,1.1683480374961737,1.041398451965959,-2.0043833673017972
2023-03-08,1.1759590219682887,1.0376061723825645,-1.3660092762003273
2023-03-09,1.167595598125867,1.0339391532547528,-2.0674944931868033
2023-03-10,1.1477917391609784,1.0203801590524857,-3.7285503675393112
2023-03-13,1.146533004853552,1.0310674222761447,-3.8341271654404983
2023-03-14,1.124635124079983,1.0248969944949702,-5.670819880698499
2023-03-15,1.1400375634099702,1.0254643960658443,-4.378934679243909
2023-03-16,1.127788950133883,1.0131824412105355,-5.406291573220426
2023-03-17,1.131479772963162,1.0182412145994533,-5.096722465874334
2023-03-20,1.1213363134765655,1.0131634077942868,-5.947508820005629
2023-03-21,1.1418462427582776,1.0243007855913953,-4.227231040995797
2023-03-22,1.1527624128600198,1.0286900457033479,-3.3116333029449456
2023-03-23,1.1463404555852155,1.0388875842710936,-3.850277305362207
2023-03-24,1.1556389334771031,1.0357897671724496,-3.070364089849979
2023-03-27,1.1500185416725577,1.0320424990464,-3.541776496879076
2023-03-28,1.1358755504069304,1.028708564702941,-4.728025033810046
2023-03-29,1.119828754404438,1.030413598707168,-6.073955885556357
2023-03-30,1.1261643245981046,1.038742518774279,-5.542557630992915
2023-03-31,1.117863121835602,1.0419319020375786,-6.238824032268186
2023-04-03,1.1453640368206415,1.052128154563686,-3.932174784414102
2023-04-04,1.1149000212860474,1.0553527753678786,-6.487355168692724
2023-04-06,1.0956506266607098,1.0536899235293922,-8.101905144878465
2023-04-07,1.1035999377155348,1.0605419533789329,-7.435153788585583
2023-04-10,1.0807228710544208,1.0557918299832378,-9.353976076341212
2023-04-11,1.0810064965397996,1.0545922103429128,-9.330186885586022
2023-04-12,1.076214447671082,1.053856594525732,-9.732121727562035
2023-04-13,1.07527042356199,1.0465752839772844,-9.811302093101784
2023-04-14,1.0748407332230039,1.0524962196806038,-9.847342526584518
2023-04-17,1.0806247821162083,1.0672561195648345,-9.362203321713732
2023-04-18,1.0593222379774956,1.0705092904934002,-11.14896196016889
2023-04-19,1.0535267154052537,1.0608709228300428,-11.635063524042513
2023-04-20,1.0607645414594904,1.0579027387285524,-11.027988230977316
2023-04-21,1.0283257859671109,1.0372098143496011,-13.748800647528721
2023-04-24,1.0495696367811453,1.024368945798232,-11.9669649330307
2023-04-25,1.0336985476945864,1.0192306950360595,-13.298158303289542
2023-04-26,1.0036714425857742,1.0183474416387874,-15.816692666679119
